CanonicalFunction,MergedFunctions,Mechanism,Structure,paragraph_ids,num_paragraphs,num_phrases,Subsystems
3D electromagnetic simulation,3D electromagnetic simulation | 3D finite element electromagnetic simulation,light reflection into absorption layer | reflective non-parallel side wall | resonance absorption enhancement,LiNi n Co m Mn (1-n-m) | absorption layer | conductive agent | lithium iron phosphate formula | nickel cobalt lithium manganate formula | positive active layer | positive current collector | positive electrode active material | positive plate | top contact layer adjacent to active layer,191 | 192,2,2,batteries | CO2 gas-gap insulation
3D flight path,3D flight path | 3D flight path planning,binary image connected domain detection | graph preprocessing | improved A-algorithm | optimal path finding | polygon conversion via rectangular segmentation | projecting 3D trajectory into image-space | trajectory optimization by cost function | using depth estimates,automatic detection system using images and reinforcement learning,348 | 4685,2,2,autonomous flight control | avionics processing
3D flight route recommendation system,3D flight route recommendation system,connect UAV and user terminal | generate real-time flight information | provide optimal flight route | receive flight info learning data | recommend real-time flight route | use UAV current status,flight information learning unit | operation records processing | real-time flight route recommendation unit,5211,1,1,autonomous flight control | avionics processing
3D helicopter flight path re-planning,3D helicopter flight path re-planning,combining kinetic equation | connecting start and finish points | connecting track points | improved elastic band algorithm execution | line intersection check with threat zone | position estimation under GPS unlocking | re-planning track | threat zone coverage extraction,emergency conditions | flight process | threat zone,5051 | 5052,2,1,autonomous flight control | avionics processing
3D measurement capabilities,3D measurement capabilities,flight mode switch | receiving by base station | sending mode switching information,,934,1,1,sensors | telecommunication
3D model generation of geological region,3D model generation of geological region,automatic energy supply | capture extension machine | carbon source positioning cooperation | multi-frame aerial images,adsorption box | adsorption device | connecting mechanism,5705 | 5706,2,1,landing system | camera
3D modeling and mapping,3D modeling and mapping,,arm joint drive steering wheel | flight battery storehouse | operator and visual observer | visual contact responsibility area,5462 | 5463,2,1,camera | sensors
3D modeling viewer system,3D modeling viewer service | 3D modeling viewer system,,central turbofan engine | dedicated application | dedicated web page | electric motor rotation control system | high-speed cruising flight | long endurance mode | thruster on each wing tip,3632 | 3633,2,2,blades | autonomous flight control
3D object expansion model,3D object expansion model,,3D grid space generation unit | 3D object expansion model | 3D object expansion model unit | optimal flight path generation unit,1805,1,1,autonomous flight control | avionics processing
3D object model based,3D object model based,,3D grid space generation unit | 3D object expansion model | 3D object expansion model unit | optimal flight path generation unit,1805,1,1,autonomous flight control | avionics processing
3D path generation for aerial vehicle,3D path generation for aerial vehicle,,2D lateral path computation | managing unit | path computing unit | wireless communication circuit,4267 | 4268,2,1,avionics processing | telecommunication
3D point cloud data,3D point cloud data | acquire point cloud data | collecting point cloud data | merging collected point cloud data | obtain line point cloud data | obtaining point cloud POS data | obtaining point cloud data | using point cloud data,adjusting DEM model | calculating elevation difference | calculating flight direction | calculating flight position | calculating terrain height | constructing DEM model | constructing DEM voxel grid | generate second recipient information | match first recipient info and order number | obtain task distribution signals | point cloud POS data | searching lowest voxel points | spatial crowdsourcing server sends allocation | use residual effective time,autonomous vehicle | central server | first information storage unit | marked tower number | return location storage device | sphere above tower highest point | tower identification point,1079 | 4071 | 4072 | 4242 | 5156 | 5309 | 5965 | 5966 | 5967,9,8,telecommunication | sensors
3D position of 2D features,3D position of 2D features,,,5,1,1,sensors | camera
3D printing concrete construction,3D printing concrete construction,controlling 3D printing system | forming 3D printing code | printing strips layer by layer | using set printing parameters,propeller connected to motor,3950,1,1,blades | autonomous flight control
3D reconstruction from images,3D reconstruction from images,bundle adjustment pose correction | multi-resolution height map | range data fusion,,16,1,1,camera | sensors
3D reconstruction image shooting,3D reconstruction image shooting,,rotorcraft UAV main body | two compressors connected in series | two-stage air compression,6149 | 6150,2,1,blades | telecommunication
3D remote control solution,3D remote control solution,gyro sensor data accumulation error | handle data from multiple Hall sensors,body-sensing remote controller | gyro sensor principle | kind novel remote controler | present invention including handle,3144,1,1,sensors | telecommunication
3D representation with criteria data,3D representation with criteria data,create point cloud from discarded data | extract depth from overlap,cameras with >180° field of view | predetermined camera location,3344 | 3345,2,1,camera | sensors
3D scanner generates 3D data,3D scanner generates 3D data,,,3085,1,1,sensors | camera
3D space positioning,3D space positioning,complementary filter | determine altitude | generate trajectory | post-process sensor data,,497,1,1,sensors | autonomous flight control
3D video and still image display,3D video and still image display,drone LED activation per pixel | transmit RGBW pixel data,aerial vehicle application | battery cells in serial configuration | battery pack | drone equipped with RGBW LED | formed on 2D plane of drone | holographic display | pixels of spatial light modulator | transmitted to drone,4121 | 4122,2,1,batteries | camera
3D visualization of recovery,3D visualization of recovery,,unmanned aerial vehicle cluster recovery system,6131 | 6132,2,1,camera | telecommunication
3D visualization system,3D visualization system,cadastral line generating unit | connects moved inflection points | generates cadastral line,around structural element for propeller protection | connected to housing conductive wall | electrically conductive strip | model generation unit | shooting unit with aircraft,1962,1,1,fuselage | autonomous flight control
3D-map-based flight control,3D-map-based flight control,camera of unmanned aerial vehicle | distance measurement sensing device | extract navigation state | improve endurance safety management | method comprises acquiring performance | obtain endurance data | perform task deployment | position determination in map model | preset three-dimensional map model | process information parameters | state information unmanned aircraft | update flight dynamic database,,5404 | 5405,2,1,sensors | autonomous flight control
4-way obstacle avoidance,4-way obstacle avoidance,attitude controller control | calculate attitude dip angle | calculate expected speed | compare to unit boundary energy | control UAV to forced landing point | derive expected acceleration | judge airspeed for parachute opening | judge residual energy | set obstacle avoidance distance,forced landing control device | forced landing control method | obstacle avoidance sensors | unmanned aerial vehicle equipment,2586 | 2587,2,1,autonomous flight control | sensors
4D flight path adjustment,4D flight path adjustment,detect flight plan flare regime | estimate aircraft parameter state | flight control system | fly new 4D flight path | generating new 4D flight path | judgment condition prevents inspection | memory and processor | modifying 4D flight path | preset judgment conditions,,2830,1,1,avionics processing | autonomous flight control
4G infrastructure for UAV,4G infrastructure for UAV,,4G base stations | 4G flight control | 4G modem onboard | UAV flight management system | antenna for downlink RF | base station antenna | communication along flight path | computer connected to modem | control centre connection to 4G infrastructure | downlink support to UAV | downlinked data access,1214,1,1,telecommunication | autonomous flight control
720° panoramic image capture,720° panoramic image capture,,first rotating mechanism | first rotor system | fuselage with hollow structure | propeller disc tilting mechanism | rotating mechanism controls rotor | rotor system in fuselage | second rotor system | stabilizers and main power device,1363,1,1,blades | autonomous flight control
8 shorter word course lines,8 shorter word course lines,,engine room installation | first communication unit | ground mobile platform | unmanned aerial vehicle,3803,1,1,avionics processing | telecommunication
8 word course line air weapon,8 word course line air weapon,,engine room installation | first communication unit | ground mobile platform | unmanned aerial vehicle,3803,1,1,telecommunication | autonomous flight control
>2× improved power production efficiency,>2× improved power production efficiency,,CO2 capture and utilization hub | Lake Kivu | oxyfuel power generation | ˜50 million tonnes dissolved biomethane,118,1,1,CO2 gas-gap insulation | solar panel
AC-DC converter,AC-DC converter | DC-DC converter | charging DC-DC converter,gate driver circuit | gate terminal connection | switching signals,converter commutation cell | exhaust section | gate driver circuit | gate terminal | high-pressure nitrogen | nitrogen storage section | power circuit | power semiconductor switching element | three terminals,276 | 2180,2,3,solar panel | CO2 gas-gap insulation
AED distribution instruction,AED distribution instruction,cell address identification | generating AED distribution instruction | generating flight task instruction,,5362,1,1,avionics processing | autonomous flight control
AED relay by property personnel,AED relay by property personnel,cell address identification | generating AED distribution instruction | generating flight task instruction,,5362,1,1,avionics processing | batteries
AED rescue request handling,AED rescue request handling,cell address identification | connected vehicle or mobile device | determining drone operating evidence | generating AED distribution instruction | generating flight task instruction | receiving warning message | storing in distributed ledger,,5361 | 5362,2,1,avionics processing | autonomous flight control
AI analysis for fire detection,AI analysis for fire detection,,,6308 | 6309,2,1,avionics processing | sensors
AI-based processing method,AI-based processing method,acquire real-time flight data | calculate matching degree,replacement UAV group | task execution machine group,5986,1,1,avionics processing | autonomous flight control
AI-based soil moisture measurement,AI-based soil moisture measurement,compare UAV soil moisture data with field measurements | select optimal soil moisture measurement point | using artificial intelligence,lighting unit on cover upper surface,5033 | 5034,2,1,sensors | camera
AI-harmful animal monitoring,AI-harmful animal monitoring,3D urban stream structure | digital twin model | matching key points,drag control member on main wings | frame perpendicular to main wings | fuselage main axis | main wings both sides | rotary wings on upper portion,827 | 828 | 829,3,1,autonomous flight control | blades
API for customized UAV applications,API for customized UAV applications,API exposing navigation functionality | multi-objective motion planning | specifying behavioral objective,drone | first communication session | first control entity,5958 | 5959,2,1,autonomous flight control | sensors
AV receives AV mission plan,AV receives AV mission plan | associated with AV mission plan | complete AV mission plan | execute AV mission plan,associate row number and distance | associate semantic instruction | associate semantic instruction with row-based world model | communicate row-based world model | generate AV mission plan | geocode feature location | row-based world model,client device | cloud component | map image of field | plurality of rows | row-based frames of reference | row-based world model | rows with multiple plants,2550 | 2551,2,4,avionics processing | autonomous flight control
Airborne LiDAR bathymetry systems and methods,Airborne LiDAR bathymetry systems and methods,,artificial intelligence server | cover with opening | drone on support | up-and-down moving support,3795 | 3796 | 3797,3,1,sensors | autonomous flight control
BVLOS drone control,BVLOS control enhancement | BVLOS drone control,XR visual data overlay | XR visual data perspective | coarse to fine-resolution commands | video stream replacement | virtual location mirroring real drone location,communication unit | devices inserted into holes | drone | elastic pole | foldable bottom plate | foldable net-shaped main body portion | indoor positioning sensor | notification signal | plurality of through holes | remote control station | user terminal,3090 | 3091,2,2,blades | autonomous flight control
Bernoulli's law,Bernoulli's law,foldable wing with solar panel | motor powers propeller | servo motor driving | solar panel charging battery,folding plate convex upward | motor-propeller integrated on solar panel | servo motor replaces propeller,4398,1,1,solar panel | blades
CNN model for state prediction,CNN model for state prediction | CNN model prediction,,collecting and fusing module | emergency rescue system | prediction module | unmanned aerial vehicle rescue module,2385 | 2386,2,2,camera | autonomous flight control
Critical Awareness,Critical Awareness,,,174,1,1,avionics processing | CO2 gas-gap insulation
DNN-based power simulation,DNN-based power simulation,,control system on framework | flaw detection mechanism | framework with wire space | main body coupling | pivoting first coupling member | pulley mechanism | pulley mechanism on framework | rotatable second coupling member | second coupling member | servo motor driven X-ray machine,2293 | 2294,2,1,blades | avionics processing
EMI and RFI immunity,EMI and RFI immunity,,UAV tethered to ground station | communications conduit | controls wind turbine | expendable airborne fiber-optic link | vehicle positioning/control data | windfarm controller,6433 | 6434,2,1,telecommunication | blades
FANs generate suction power,FANs generate suction power,air suction by FANs | static electricity generation,FAN and pipe like drone | UFO-style drone | air moved through pipe | attachment/detachment port | cylindrical FAN | cylindrical air intake | cylindrical suction port | discharge toward ground | donut-shaped trash can | donut-shaped trash cans | grid-shaped net | one or four FANs | one or more FANs | pipe at right angle | wheels at bottom,1118 | 3433,2,1,blades | fuselage
FMCW-based drone platform,FMCW-based drone platform,azimuth reference function | deleting data at fluctuation time | distance movement compensation | frequency domain correlation process,,2899,1,1,autonomous flight control | avionics processing
FPV camera records process,FPV camera records process,,control signal acquisition module | flight attitude and position control | flight data acquisition module,5473,1,1,avionics processing | autonomous flight control
Flocking aggregation into subsets,Flocking aggregation into subsets,A-star algorithm for collision-free track | RRT algorithm trajectory generation | attraction point generation | biological characteristics in Vicsek model | dynamics constraint satisfaction | limited field angle | random line of sight,VHF+ Flocking obstacle avoidance algorithm | cartridge mounting tube | multi-task clustering algorithm,1815 | 1816,2,1,autonomous flight control | avionics processing
GNSS error sharing,GNSS error sharing,,array of sensor receptacles | carriage system with manipulator | controller for carriage system | transfer point near load point,4968 | 4969,2,1,sensors | autonomous flight control
GNSS signal problem solved,GNSS signal problem solved,UAV adjusts spatial position | use air pressure data | use laser point cloud data | uses laser point cloud,,5847,1,1,sensors | autonomous flight control
GPS modules for precise data,GPS modules for precise data,according multi-rotor spray rod | structure works edge corner,auxiliary adjusting main rotors | millimeter-wave radar | multiple rotors and motors | pesticide liquid pipes and nozzles,4631,1,1,sensors | blades
GPS navigation,GPS navigation,lever caught by stopper block | slide shaft restrains lever,cargo drop device | drone including device | motor with small operating force,1277 | 1278,2,1,sensors | autonomous flight control
GPS positioning accuracy limitation,GPS positioning accuracy limitation,GPS positioning system | network RTK differential algorithm,crossed steel rails | guide rails connection | sliding blocks | sliding blocks on stopping supports | stopping supports,5703,1,1,sensors | landing system
GPS refusing condition,GPS refusing condition,calculating flight direction | calculating flight position | point cloud POS data,,5155,1,1,sensors | autonomous flight control
GPS-based authentication for unmanned networks,GPS-based authentication for unmanned networks,equipment authentication stage | fuzzy extractor generates unified information | information extraction stage | key extraction from GPS signal | periodic key updating,,5940,1,1,sensors | avionics processing
HDR image automatic exposure method,HDR image automatic exposure method,calculate exposure compensation | evaluate automatic exposure | obtain statistical info and window weight | trigger exposure on condition,VR camera with adjustable angle,2148 | 2149,2,1,camera | autonomous flight control
IoT data gathering and processing,IoT data gathering and processing,ML models filter data by relevance score | cloud servers push ML models to edge devices | data gathered and processed by cloud servers | data impact as training data | lift adjustment by fixed wing rotation | machine learning model training | optimal fixed wing rotation angle,,1618 | 1619,2,1,avionics processing | sensors
IoT-based notification device,IoT-based notification device,,detect gas and ambient temperature | end of support arm far from main body | lighting unit on cover upper surface | plurality of forest fire notification devices | variable port withdrawable from cover side,5035 | 5036,2,1,CO2 gas-gap insulation | survival heaters
Kalman filter,Kalman filter | extended Kalman filter,publish delta pose and covariance | zero out delta pose and covariance,absolute position information | correction information | inertia sensor | reference station coordinates | satellite signal information | sensor part | soft lock connected to cylinder | tag recognition sensor | wing surfaces at cylinder end,1834 | 1835 | 1836 | 2996,4,2,sensors | autonomous flight control
LED activation per pixel,LED activation per pixel,,2D plane or 3D stereoscopic image | RGBW LED formation | drone air display fixed in air | rod-shaped body extends above propeller guard,4150,1,1,blades | sensors
LED light source irradiation,LED light source irradiation,,airborne LED lamp set | unmanned aerial vehicle control module | wireless charging platform,3620,1,1,solar panel | telecommunication
LTE signals have different carrier frequencies,LTE signals have different carrier frequencies,Doppler frequency measurement | carrier phase measurement | clock bias removal | control UAV cluster based on path | detect cycle slip | determine optimal task path | estimate UAV position | estimate integer ambiguities | from LTE eNodeB multiple antenna ports | fuse measurements via extended Kalman filter | receiver and controller | single difference measurements | update pheromone intensity circularly | use carrier phase measurements,,5757,1,1,sensors | autonomous flight control
LiDAR and distance measuring device,LiDAR and distance measuring device,scan signal input triggers drone scanning | storage unit storing synchronized data | synchronizing scan and altitude info | using RTC time information,LiDAR sensor | RTC for time information | controller controlling drone | drone moving up and down | hoistway measurement system | remote control unit outputting scan signal | remote controller with scan button | scan information storage | time synchronization,6521,1,1,sensors | telecommunication
MAPPO-based multi-spacecraft orbit game method,MAPPO-based multi-spacecraft orbit game method,,,489,1,1,sensors | avionics processing
MLCC manufacturing method,MLCC manufacturing method,adding and mixing powder to cover surface | ball milling to round edges and corners | chamfering ceramic green body | filtering ball-milled ceramic green body | glue discharging and sintering | mixing ceramic green bodies and water | removing powder from surface,,296 | 297,2,1,CO2 gas-gap insulation | landing system
Mars helicopter flight path planning,Mars helicopter flight path planning,A-star constraint algorithm | add constraints to A-star algorithm | establish map model | obtain optimal track | perform track search,conventional and bionic surfaces | opposite sides airfoil,3,1,1,autonomous flight control | blades
Mars water ice utilization,Mars water ice utilization,,Mars water ice exploitation device | air guide channel and gas collecting hood | angle bending pipeline | electrically conductive layer | ice collector | power semiconductor prepackage | power semiconductor switching element | probe with microwave antenna | radiation condenser,94 | 95,2,1,CO2 gas-gap insulation | solar panel
Minimum snap algorithm planning,Minimum snap algorithm planning,locking mode | normally-on mode | valve core switching modes,,5590,1,1,avionics processing | landing system
N orbital planes,N orbital planes,checking mine launch | cross-links on adjacent orbital planes | left and right adjacent orbits | moving drone to striking point | setting striking point,eight or more communication satellites | one orbital plane | satellite constellation business apparatuses,1360,1,1,sensors | avionics processing
"NDVI, SAVI, RENDVI","NDVI, SAVI, RENDVI",,,586,1,1,camera | sensors
Nash equilibrium,Nash equilibrium | acquiring Nash equilibrium,forward sequence operation | generating sea surface pattern information | optimal control strategy | zero sum matrix game model,communication system | control system | front-end image processing module | game strategy set and revenue matrix | game two-party information | image acquisition module | obstacle avoidance module | power system | zero-sum matrix game model,2794 | 5209,2,2,avionics processing | autonomous flight control
Off State reduces boot time,Off State reduces boot time,timeout or low battery trigger | transition to Power off State,camera unit below drone | control unit | delivery item below drone | drone body part | winch unit connecting delivery item,2700,1,1,batteries | landing system
Optimal Turning Radius algorithm,Optimal Turning Radius algorithm,PMP and Mesh network communication modes | communication layer on ground | distributed communication schemes | formation flight control optimization | switching algorithm | wireless transmission module,,5536,1,1,telecommunication | avionics processing
PDU session,PDU session,,array of displaceable surface members | interactive surface | oscillatory signal generator,122,1,1,solar panel | avionics processing
PIC executes deployment plan,PIC executes deployment plan,DASA computer directs drone swarm,corridor from attack to landing zone | corridor from launch to attack zone | deployment plan objectives | firefighting actions for drones,409,1,1,avionics processing | autonomous flight control
Q value table learning,Q value table learning,,cooperative communication strategies,5920,1,1,telecommunication | blades
QR code information management,QR code information management,,administrator terminal display | construction site safety management server | construction work selection guidance | safety management method | work status management unit,1927,1,1,camera | telecommunication
RCS close to full-size target drone,RCS close to full-size target drone,,arc-shaped support frame | bent arm connecting first and second suspension arms | boom fixing plate | camera mounting seat | first fixing screw rod sliding | first suspension arm connection | horizontal rotating mechanism | multi-hole connecting disc with staggered holes | porous connecting disc | rotating vertex connection | rotation transmission device | shaft sleeve | sliding hole in fixing plate | suspension arm fixing plate | suspension arm shaft rotating around shaft sleeve | three corner reflector panels | three panels forming set angle | through hole in second suspension arm | vertical rotating mechanism,4465 | 4466,2,1,blades | landing system
RSMA-based HAP and UAV,RSMA-based HAP and UAV,actor network μ(s ｜ θ μ) | handling noisy environment | minimizing latency and energy | reflecting noise in parameter θ μ | solving optimization problem P2,"decoding order parameter φ uk | offload rate o u [ t] | parameters: offload ratio, split ratio, transmission power, decoding order | split ratio δ o uk",375,1,1,telecommunication | avionics processing
SLAM injective mapping estimate,SLAM injective mapping estimate | determining SLAM injective mapping,indoor environment landmarks | joint observation model setup | known world coordinates | map state realization | observation realization at time tk | receive first image | receive second image | receive state estimate | state-space model mapping,map state sk | positions of SLAM landmarks | state xk of localizing apparatus,2400,1,2,sensors | camera
SLAM tour inspection track planning,SLAM tour inspection track planning,path search method | threat algorithm considering weather factors,planning space for real-time design | real-time planning space | weather stations as sensors,3701,1,1,sensors | camera
SOC below first reference value,SOC below first reference value,,electric motor | energy management apparatus | internal combustion engine | mobile quarantine device | receive second user input | user terminal with third display module,1546,1,1,avionics processing | batteries
UAV acquisition path planning,UAV acquisition path planning,,aerial vehicles form platform segments | floating platform,5252 | 5253,2,1,autonomous flight control | landing system
UAV adjusts pose,UAV adjusts pose,,data acquisition device acquires relative poses | pose positioning in map coordinate system | unmanned aerial vehicle operates target | unmanned vehicle constructs 3D map,3316,1,1,sensors | camera
UAV air networking communication,UAV air networking communication,connect with command terminal | direct connection with command terminal | select highest priority terminals,guided ordnance | guided weaponized UAV,6168 | 6169,2,1,autonomous flight control | telecommunication
UAV air traffic control method,UAV air traffic control method,additional receiver receives remote commands | control unit generates activation command,airspace sequence | mission route waypoints,5235 | 5236,2,1,autonomous flight control | telecommunication
UAV airborne delivery route,UAV airborne delivery route,,UAV delivery control system,2971 | 2972,2,1,autonomous flight control | telecommunication
UAV and storage medium,UAV and storage medium,,,6651,1,1,telecommunication | autonomous flight control
UAV and vehicle joint distribution,UAV and vehicle joint distribution,UAV service time influenced by carrying capacity | minimizing total distribution time | optimizing total distribution path | service time influenced by customer demand | service time varies by customer demand | synthesizing single paths,,3942,1,1,autonomous flight control | avionics processing
UAV assistance in wireless network,UAV assistance in wireless network,GPS speed feedback | RTK speed feedback | compare route length to threshold | divide route into sections | insert dynamic calibration routes | real-time tracking technology | route sections length ≤ threshold,UAV assisted wireless network system | multiple adjacent ground users,3001 | 3002,2,1,autonomous flight control | telecommunication
UAV assisted positioning,UAV assisted positioning,short-range communications,flight assembly | movable flight assembly | readable storage medium | terminal | terminal outlet,3129,1,1,autonomous flight control | avionics processing
UAV autonomous flight to abnormal point,UAV autonomous flight to abnormal point,automatic reporting | autonomous UGV driving to call point | calculate real-time UGV location | detect abnormal operation | generate UAV call signal,UGV receiving BLE signals | riverside/coastal BLE device,3272,1,1,autonomous flight control | sensors
UAV autonomous landing,UAV autonomous landing | assisting UAV landing | guide UAV autonomous landing | stable UAV landing support,3D point cloud map | determine historical landing point type | fuse laser radar camera IMU data | image feature extraction | inter-machine information interaction | laser radar data | robust landing area identification | use historical landing information | wireless ultraviolet light secret communication,distance between UAV and land vehicle | electric linear sliding | electric linear sliding table | first and second control units | first control unit | land and aerial vehicles | motor speed reducing mechanism | photoelectric switch | power switch | receiving end mechanism | rotary power supply device | second control unit | time control circuit | transmitting end mechanism | unmanned aerial vehicle body | wireless receiving circuit A | wireless receiving circuit B | wireless transmitting circuit | wireless transmitting circuit module,420 | 2652 | 5609 | 5750 | 5751,5,4,autonomous flight control | sensors
UAV autonomously perching,UAV autonomously perching,electrically coupled to battery | self-discharging circuit,2D LIDAR system | 3D depth camera | control circuit | first direction longitudinal | first rotor blades on first frame ends | hinge folding second frame midway | second direction intersecting first | second frame with hinge | second rotor blades on second frame ends | two first frames,1202 | 1203 | 1204,3,1,autonomous flight control | blades
UAV auxiliary power system,UAV auxiliary power system,carbon dioxide working medium | catalyst for artificial precipitation | ejector scatters medium | mix condensed and reheated medium | pressure potential energy,,3382 | 3383,2,1,CO2 gas-gap insulation | solar panel
UAV captures and streams images,UAV captures and streams images,,main body portion | positioning unit with GPS | thrust generating device,4413 | 4414,2,1,sensors | autonomous flight control
UAV captures area image,UAV captures area image,,,6174,1,1,camera | sensors
UAV carries rescue package,UAV carries rescue package,stop block extension and retraction,arm cavity with electric control plate | arm cover plate | arm framework,2163 | 2164,2,1,autonomous flight control | blades
UAV cluster cooperative guidance,UAV cluster cooperative guidance | unmanned aerial vehicle cluster guidance,,active radar detection equipment | four traction head capturing nets | path planning module | target capturing device | target recognition module,1111 | 1112,2,2,autonomous flight control | sensors
UAV cluster delay,UAV cluster delay,flight state data processing | inner net after oil | motion modeling | preparation and flight phases | replenishing flocculation additives loaded,autonomous tracking diesel UAV | mobile diesel oil replenishing device | unmanned aerial vehicle mechanism,1158 | 1159,2,1,autonomous flight control | avionics processing
UAV cluster flies in sequence,UAV cluster flies in sequence,based on expected formation and coordinates | centroid as origin | constructing formation coordinate system | evaluating cooperative formation capability | ground station predetermines formation | plan pilot according to flight task | setting expected distance and angle | three-dimensional coordinate system,coordinates in formation coordinate system | formation coordinates,2083,1,1,autonomous flight control | sensors
UAV cluster grouping,UAV cluster cooperative formation capability | UAV cluster distribution network | UAV cluster formation control | UAV cluster grouping | UAV cluster situation analysis,based on expected formation and coordinates | based on movable and imageable time | capture magnetic flux | centroid as origin | constructing formation coordinate system | determining UAV position | discretizing horizontal space | evaluating cooperative formation capability | formation configuration matrix | formation configuration number | formation follower control law | generate charging currents | ground station predetermines formation | harmony search algorithm | improved harmony search algorithm | optimization of inspection path | plan pilot according to flight task | position and speed error | self-adaptive parameter adjustment | sending formation flight instruction | setting expected distance and angle | three-dimensional coordinate system,UAV formations with leader and followers | coil devices mounted on transformable devices | control unit | coordinates in formation coordinate system | distance measuring equipment below main body | first power supply | first springs below piston rods | fixing information display | formation coordinates | hook and swaybrace pair | imaging apparatus power supply | oil cavities at four corners | oil nozzles above oil cavities | oil pump connected to nozzles | orientation of transformable devices | piston rods slidably connected | residual battery capacity | second acquisition unit | second power supply | virtual formation benchmark,639 | 640 | 1910 | 2083 | 2765 | 4951 | 4952,7,5,autonomous flight control | sensors
UAV cluster intelligent obstacle avoidance,UAV cluster intelligent obstacle avoidance | perform UAV cluster obstacle avoidance,,HITL feedback unit | T type foot rest | at least two buffer units | brushless motor | buffer cavity | buffer cylinder | buffer cylinder cavity | buffer units arranged circumferentially | computer readable storage medium | controls flight toward target | electronic equipment | foot rest fixing base | foot rest mounting panel | foot rest mounting panel bottom central point | horn fixing sleeves | inputs state information | motor base | provides human-in-the-loop feedback | reverse angle deformation mechanism | sensing-aware nonlinear control unit | telescopic unit | telescopic unit extension | telescopic unit penetration | unmanned aerial vehicle,672 | 2477 | 2478,3,2,autonomous flight control | sensors
UAV cluster key extraction,UAV cluster key extraction,equipment authentication stage | fuzzy extractor generates unified information | information extraction stage | key extraction from GPS signal | periodic key updating,,5940,1,1,sensors | autonomous flight control
